Track,Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different,Cannot be Determined
SAP_FS,alod_emb,dbpedia_emb,0.05,4,1,0
SAP_FS,dbpedia_emb,alod_emb,0.05,4,1,0
conference,alod_emb,COMBINED_Emb,0.05,21,0,0
SAP_FS,wiktionary_emb,wiktionary_emb,0.05,0,5,0
conference,COMBINED_Emb,alod_emb,0.05,21,0,0
anatomy_track,babelnet_emb,babelnet_emb,0.05,0,1,0
SAP_FS,wiktionary_emb,wikidata_emb,0.05,4,1,0
SAP_FS,wikidata_emb,wiktionary_emb,0.05,4,1,0
conference,alod_emb,wikidata_emb,0.05,21,0,0
conference,wikidata_emb,alod_emb,0.05,21,0,0
largebio,babelnet_emb,babelnet_emb,0.05,0,1,0
SAP_FS,alod_emb,wordnet_emb,0.05,2,3,0
SAP_FS,wordnet_emb,alod_emb,0.05,2,3,0
largebio,wiktionary_emb,babelnet_emb,0.05,1,0,0
largebio,babelnet_emb,wiktionary_emb,0.05,1,0,0
SAP_FS,COMBINED_Emb,wiktionary_emb,0.05,5,0,0
SAP_FS,wiktionary_emb,COMBINED_Emb,0.05,5,0,0
largebio,COMBINED_Emb,babelnet_emb,0.05,1,0,0
largebio,babelnet_emb,COMBINED_Emb,0.05,1,0,0
SAP_FS,wordnet_emb,wordnet_emb,0.05,0,5,0
largebio,babelnet_emb,wikidata_emb,0.05,1,0,0
largebio,wikidata_emb,babelnet_emb,0.05,1,0,0
anatomy_track,wordnet_emb,wordnet_emb,0.05,0,1,0
largebio,wordnet_emb,dbpedia_emb,0.05,1,0,0
largebio,dbpedia_emb,wordnet_emb,0.05,1,0,0
anatomy_track,dbpedia_emb,dbpedia_emb,0.05,0,1,0
anatomy_track,wiktionary_emb,wiktionary_emb,0.05,0,1,0
largebio,dbpedia_emb,alod_emb,0.05,1,0,0
largebio,alod_emb,dbpedia_emb,0.05,1,0,0
anatomy_track,wiktionary_emb,COMBINED_Emb,0.05,1,0,0
anatomy_track,COMBINED_Emb,wiktionary_emb,0.05,1,0,0
anatomy_track,wikidata_emb,wiktionary_emb,0.05,1,0,0
anatomy_track,wiktionary_emb,wikidata_emb,0.05,1,0,0
largebio,alod_emb,wordnet_emb,0.05,0,1,0
largebio,wordnet_emb,alod_emb,0.05,0,1,0
conference,alod_emb,wiktionary_emb,0.05,2,19,0
conference,wiktionary_emb,alod_emb,0.05,2,19,0
anatomy_track,wikidata_emb,wikidata_emb,0.05,0,1,0
anatomy_track,wikidata_emb,COMBINED_Emb,0.05,1,0,0
anatomy_track,COMBINED_Emb,wikidata_emb,0.05,1,0,0
largebio,dbpedia_emb,dbpedia_emb,0.05,0,1,0
SAP_FS,wikidata_emb,babelnet_emb,0.05,0,5,0
SAP_FS,babelnet_emb,wikidata_emb,0.05,0,5,0
conference,babelnet_emb,babelnet_emb,0.05,0,21,0
SAP_FS,babelnet_emb,COMBINED_Emb,0.05,5,0,0
SAP_FS,COMBINED_Emb,babelnet_emb,0.05,5,0,0
largebio,alod_emb,COMBINED_Emb,0.05,1,0,0
largebio,COMBINED_Emb,alod_emb,0.05,1,0,0
conference,dbpedia_emb,dbpedia_emb,0.05,0,21,0
SAP_FS,wiktionary_emb,babelnet_emb,0.05,4,1,0
SAP_FS,babelnet_emb,wiktionary_emb,0.05,4,1,0
anatomy_track,wordnet_emb,dbpedia_emb,0.05,1,0,0
anatomy_track,dbpedia_emb,wordnet_emb,0.05,1,0,0
conference,wordnet_emb,wordnet_emb,0.05,0,21,0
largebio,wikidata_emb,alod_emb,0.05,1,0,0
largebio,alod_emb,wikidata_emb,0.05,1,0,0
SAP_FS,alod_emb,alod_emb,0.05,0,5,0
largebio,wikidata_emb,COMBINED_Emb,0.05,1,0,0
largebio,COMBINED_Emb,wikidata_emb,0.05,1,0,0
conference,wikidata_emb,wordnet_emb,0.05,21,0,0
conference,wordnet_emb,wikidata_emb,0.05,21,0,0
anatomy_track,alod_emb,alod_emb,0.05,0,1,0
largebio,wikidata_emb,wikidata_emb,0.05,0,1,0
SAP_FS,COMBINED_Emb,alod_emb,0.05,5,0,0
SAP_FS,alod_emb,COMBINED_Emb,0.05,5,0,0
conference,alod_emb,babelnet_emb,0.05,20,1,0
conference,babelnet_emb,alod_emb,0.05,20,1,0
conference,wiktionary_emb,COMBINED_Emb,0.05,21,0,0
conference,COMBINED_Emb,wiktionary_emb,0.05,21,0,0
largebio,wiktionary_emb,wiktionary_emb,0.05,0,1,0
anatomy_track,dbpedia_emb,alod_emb,0.05,1,0,0
anatomy_track,alod_emb,dbpedia_emb,0.05,1,0,0
largebio,COMBINED_Emb,wordnet_emb,0.05,1,0,0
largebio,wordnet_emb,wikidata_emb,0.05,1,0,0
largebio,wordnet_emb,COMBINED_Emb,0.05,1,0,0
largebio,wikidata_emb,wordnet_emb,0.05,1,0,0
conference,wikidata_emb,wiktionary_emb,0.05,21,0,0
conference,wiktionary_emb,wikidata_emb,0.05,21,0,0
largebio,babelnet_emb,alod_emb,0.05,1,0,0
largebio,wikidata_emb,wiktionary_emb,0.05,1,0,0
largebio,wiktionary_emb,wikidata_emb,0.05,1,0,0
largebio,alod_emb,babelnet_emb,0.05,1,0,0
SAP_FS,babelnet_emb,babelnet_emb,0.05,0,5,0
conference,wiktionary_emb,wiktionary_emb,0.05,0,21,0
conference,wordnet_emb,COMBINED_Emb,0.05,21,0,0
conference,COMBINED_Emb,wordnet_emb,0.05,21,0,0
conference,COMBINED_Emb,COMBINED_Emb,0.05,0,21,0
SAP_FS,dbpedia_emb,wikidata_emb,0.05,1,4,0
SAP_FS,wikidata_emb,dbpedia_emb,0.05,1,4,0
SAP_FS,dbpedia_emb,COMBINED_Emb,0.05,5,0,0
SAP_FS,COMBINED_Emb,dbpedia_emb,0.05,5,0,0
conference,wordnet_emb,wiktionary_emb,0.05,15,6,0
conference,wiktionary_emb,wordnet_emb,0.05,15,6,0
largebio,babelnet_emb,dbpedia_emb,0.05,1,0,0
largebio,dbpedia_emb,babelnet_emb,0.05,1,0,0
largebio,COMBINED_Emb,wiktionary_emb,0.05,1,0,0
largebio,wiktionary_emb,COMBINED_Emb,0.05,1,0,0
anatomy_track,wikidata_emb,babelnet_emb,0.05,1,0,0
anatomy_track,babelnet_emb,wikidata_emb,0.05,1,0,0
largebio,COMBINED_Emb,COMBINED_Emb,0.05,0,1,0
SAP_FS,dbpedia_emb,wiktionary_emb,0.05,3,2,0
SAP_FS,wiktionary_emb,dbpedia_emb,0.05,3,2,0
conference,babelnet_emb,dbpedia_emb,0.05,0,21,0
conference,dbpedia_emb,babelnet_emb,0.05,0,21,0
largebio,wordnet_emb,wiktionary_emb,0.05,1,0,0
largebio,wiktionary_emb,wordnet_emb,0.05,1,0,0
anatomy_track,babelnet_emb,COMBINED_Emb,0.05,1,0,0
anatomy_track,COMBINED_Emb,babelnet_emb,0.05,1,0,0
anatomy_track,babelnet_emb,wiktionary_emb,0.05,1,0,0
anatomy_track,wiktionary_emb,babelnet_emb,0.05,1,0,0
SAP_FS,dbpedia_emb,wordnet_emb,0.05,5,0,0
SAP_FS,wordnet_emb,dbpedia_emb,0.05,5,0,0
largebio,wordnet_emb,wordnet_emb,0.05,0,1,0
anatomy_track,wordnet_emb,babelnet_emb,0.05,1,0,0
anatomy_track,babelnet_emb,wordnet_emb,0.05,1,0,0
SAP_FS,wordnet_emb,COMBINED_Emb,0.05,5,0,0
SAP_FS,COMBINED_Emb,wordnet_emb,0.05,5,0,0
largebio,babelnet_emb,wordnet_emb,0.05,1,0,0
largebio,wordnet_emb,babelnet_emb,0.05,1,0,0
SAP_FS,alod_emb,babelnet_emb,0.05,2,3,0
SAP_FS,babelnet_emb,alod_emb,0.05,2,3,0
SAP_FS,wordnet_emb,wikidata_emb,0.05,5,0,0
SAP_FS,wikidata_emb,wordnet_emb,0.05,5,0,0
largebio,dbpedia_emb,wikidata_emb,0.05,1,0,0
largebio,wikidata_emb,dbpedia_emb,0.05,1,0,0
anatomy_track,dbpedia_emb,babelnet_emb,0.05,1,0,0
anatomy_track,babelnet_emb,dbpedia_emb,0.05,1,0,0
SAP_FS,wiktionary_emb,wordnet_emb,0.05,2,3,0
SAP_FS,wordnet_emb,wiktionary_emb,0.05,2,3,0
conference,COMBINED_Emb,wikidata_emb,0.05,21,0,0
conference,wikidata_emb,COMBINED_Emb,0.05,21,0,0
anatomy_track,wordnet_emb,wiktionary_emb,0.05,1,0,0
anatomy_track,wiktionary_emb,wordnet_emb,0.05,1,0,0
largebio,dbpedia_emb,wiktionary_emb,0.05,0,1,0
largebio,wiktionary_emb,dbpedia_emb,0.05,0,1,0
largebio,dbpedia_emb,COMBINED_Emb,0.05,1,0,0
largebio,COMBINED_Emb,dbpedia_emb,0.05,1,0,0
conference,wikidata_emb,wikidata_emb,0.05,0,21,0
SAP_FS,alod_emb,wiktionary_emb,0.05,2,3,0
SAP_FS,wiktionary_emb,alod_emb,0.05,2,3,0
SAP_FS,wordnet_emb,babelnet_emb,0.05,5,0,0
SAP_FS,babelnet_emb,wordnet_emb,0.05,5,0,0
SAP_FS,alod_emb,wikidata_emb,0.05,3,2,0
SAP_FS,wikidata_emb,alod_emb,0.05,3,2,0
anatomy_track,COMBINED_Emb,wordnet_emb,0.05,1,0,0
anatomy_track,wordnet_emb,COMBINED_Emb,0.05,1,0,0
anatomy_track,alod_emb,babelnet_emb,0.05,1,0,0
anatomy_track,babelnet_emb,alod_emb,0.05,1,0,0
anatomy_track,wordnet_emb,wikidata_emb,0.05,1,0,0
anatomy_track,wikidata_emb,wordnet_emb,0.05,1,0,0
anatomy_track,dbpedia_emb,wikidata_emb,0.05,1,0,0
anatomy_track,wikidata_emb,dbpedia_emb,0.05,1,0,0
anatomy_track,dbpedia_emb,COMBINED_Emb,0.05,1,0,0
anatomy_track,COMBINED_Emb,dbpedia_emb,0.05,1,0,0
conference,wordnet_emb,alod_emb,0.05,10,11,0
conference,alod_emb,wordnet_emb,0.05,10,11,0
anatomy_track,dbpedia_emb,wiktionary_emb,0.05,1,0,0
anatomy_track,wiktionary_emb,dbpedia_emb,0.05,1,0,0
largebio,alod_emb,wiktionary_emb,0.05,1,0,0
largebio,wiktionary_emb,alod_emb,0.05,1,0,0
anatomy_track,alod_emb,wikidata_emb,0.05,1,0,0
anatomy_track,wikidata_emb,alod_emb,0.05,1,0,0
conference,dbpedia_emb,wiktionary_emb,0.05,15,6,0
conference,wiktionary_emb,dbpedia_emb,0.05,15,6,0
conference,dbpedia_emb,wikidata_emb,0.05,6,15,0
conference,wikidata_emb,dbpedia_emb,0.05,6,15,0
conference,babelnet_emb,wikidata_emb,0.05,3,18,0
conference,wikidata_emb,babelnet_emb,0.05,3,18,0
anatomy_track,COMBINED_Emb,COMBINED_Emb,0.05,0,1,0
SAP_FS,dbpedia_emb,dbpedia_emb,0.05,0,5,0
anatomy_track,alod_emb,wordnet_emb,0.05,1,0,0
anatomy_track,wordnet_emb,alod_emb,0.05,1,0,0
conference,COMBINED_Emb,babelnet_emb,0.05,21,0,0
conference,babelnet_emb,COMBINED_Emb,0.05,21,0,0
conference,COMBINED_Emb,dbpedia_emb,0.05,21,0,0
conference,dbpedia_emb,wordnet_emb,0.05,20,1,0
conference,dbpedia_emb,COMBINED_Emb,0.05,21,0,0
conference,wordnet_emb,dbpedia_emb,0.05,20,1,0
SAP_FS,babelnet_emb,dbpedia_emb,0.05,1,4,0
SAP_FS,dbpedia_emb,babelnet_emb,0.05,1,4,0
conference,wiktionary_emb,babelnet_emb,0.05,20,1,0
conference,babelnet_emb,wiktionary_emb,0.05,20,1,0
anatomy_track,COMBINED_Emb,alod_emb,0.05,1,0,0
anatomy_track,alod_emb,COMBINED_Emb,0.05,1,0,0
anatomy_track,alod_emb,wiktionary_emb,0.05,1,0,0
anatomy_track,wiktionary_emb,alod_emb,0.05,1,0,0
conference,babelnet_emb,wordnet_emb,0.05,21,0,0
conference,wordnet_emb,babelnet_emb,0.05,21,0,0
conference,dbpedia_emb,alod_emb,0.05,19,2,0
conference,alod_emb,dbpedia_emb,0.05,19,2,0
SAP_FS,COMBINED_Emb,COMBINED_Emb,0.05,0,5,0
largebio,alod_emb,alod_emb,0.05,0,1,0
SAP_FS,wikidata_emb,wikidata_emb,0.05,0,5,0
SAP_FS,COMBINED_Emb,wikidata_emb,0.05,5,0,0
SAP_FS,wikidata_emb,COMBINED_Emb,0.05,5,0,0
conference,alod_emb,alod_emb,0.05,0,21,0
